su_id	Observed_Counts	SU_Area	Landslide_Area	Landslides_Intensity
1	0	91925.3575220000	0.0000000000	0.3367705765
2	0	94400.0000010000	0.0000000000	0.3388794307
3	0	121444.9900700000	0.0000000000	0.3485536810
4	0	90816.8036450000	0.0000000000	0.4131797931
5	0	127782.1568400000	0.0000000000	0.9655978209
6	0	37200.0000000000	0.0000000000	0.1467441157
7	0	40000.0000000000	0.0000000000	0.1097474074
8	0	293761.0267600000	0.0000000000	0.5787666058
9	0	517373.9284700000	0.0000000000	0.5365797045
10	0	100500.6590800000	0.0000000000	0.4468185940
11	0	212528.5444800000	0.0000000000	0.9444517878
12	0	31991.9869739999	0.0000000000	0.0689688595
13	0	99220.1787680000	0.0000000000	0.4345747596
14	0	89200.0000000000	0.0000000000	0.6628315544
15	0	109600.0000000000	0.0000000000	0.6093134594
16	0	109200.0000000000	0.0000000000	0.8329133319
17	0	51600.0000000000	0.0000000000	0.2330080668
18	0	45200.0000010000	0.0000000000	0.2953086647
19	0	46000.0000000000	0.0000000000	0.3886489657
20	0	88965.3718580000	0.0000000000	2.1546175027
21	10	104000.0000000000	1778.6972877000	9.3414667348
22	29	93600.0000000000	2076.2547622000	29.1461153930
23	6	105600.0000000000	2086.5351550000	6.3867739543
24	5	54800.0000000000	1179.0038584000	5.0307483401
25	14	118800.0000000000	2816.0391646000	14.1143742680
26	0	51200.0000000000	0.0000000000	0.5527825302
27	3	95200.0000000000	371.4113537000	2.9689208302
28	16	159200.0000000000	7604.0121540000	17.0846887100
29	1	93598.5001060000	56.6210984820	1.7077279886
30	0	42400.0000000000	79.1807646920	1.6578723949
31	8	156209.0794200000	960.8052224700	6.8309736995
32	7	131600.0000000000	6318.1479078000	7.1154878543
33	2	30400.0000000000	179.6377850200	2.3420647097
34	3	86399.9999990000	1671.1607957000	2.9755791206
35	0	128400.0000000000	0.0000000000	0.8439758427
36	0	196892.4219200000	0.0000000000	1.2218224389
37	1	104800.0000000000	314.2677811800	1.3016871000
38	2	108000.0000000000	705.7773403900	1.8862380739
39	0	110800.0000000000	0.0000000000	1.0271207661
40	2	34799.9999990000	0.0000000000	2.0647614382
41	7	66000.0000000000	3393.8882327000	7.0119706986
42	10	55200.0000000000	3250.2598116000	8.8307455748
43	1	150000.0000000000	0.0000000000	1.5079043946
44	0	43999.9999990000	0.0000000000	0.4400313815
45	3	129600.0000000000	762.4044158900	2.6980391684
46	3	118800.0000000000	578.3443364500	3.7361903327
47	1	166400.0000000000	1879.3566198000	0.9895910831
48	0	108000.0000000000	0.0000000000	0.7255715313
49	1	82000.0000010000	236.4194798600	0.7162864532
50	10	234000.0000000000	4012.8501334000	10.4393511820
51	5	172800.0000000000	1953.8046972000	4.6324186370
52	11	160000.0000000000	1326.1602880000	12.5660605220
53	12	62800.0000000000	1647.7904806000	10.6237034700
54	0	34800.0000000000	2004.5025684000	1.9078350968
55	33	236649.5843100000	7566.4786087000	33.8775503650
56	7	110400.0000000000	1460.3642669000	6.5654181420
57	5	86000.0000000000	1725.7717191000	4.2069489460
58	0	28333.6397000000	0.0000000000	0.3381080022
59	0	174077.2894200000	0.0000000000	1.0550027241
60	0	121860.6942000000	0.0000000000	0.6774611853
61	1	34000.0000000000	165.4052625600	1.3529255657
62	2	32000.0000000000	953.5771085100	1.5279496287
63	4	154000.0000000000	393.3180407300	4.6702376190
64	0	56400.0000000000	0.0000000000	0.3903832906
65	0	80642.5399940000	0.0000000000	0.8152266065
66	0	61999.9999990000	0.0000000000	1.2802685940
67	0	82000.0000000000	0.0000000000	0.7538497946
68	0	78800.0000000000	0.0000000000	0.8513300006
69	0	65200.0000010000	0.0000000000	0.8314433538
70	0	90000.0000000000	0.0000000000	0.3964779604
71	0	137160.6909400000	0.0000000000	0.8560998851
72	0	147583.5663100000	0.0000000000	0.8434561787
73	0	155694.7971100000	0.0000000000	0.8447402891
74	0	159936.0607400000	0.0000000000	0.7956644378
75	0	88622.4619540000	0.0000000000	0.3989703041
76	0	116390.1407800000	0.0000000000	0.4153113002
77	0	81513.2016560000	0.0000000000	0.8644500656
78	0	34400.0000000000	0.0000000000	0.3024106395
79	0	91824.0817480000	0.0000000000	0.5232691672
80	10	135600.0000000000	1094.3603442000	11.2858159090
81	23	136394.3755600000	1257.7029989000	22.7761540510
82	0	146400.0000000000	0.0000000000	1.4764545442
83	0	56792.5903500000	0.0000000000	0.6455930471
84	1	131675.9145900000	176.4882662000	1.2516423960
85	11	72955.2992940000	713.3725258400	10.7626947660
86	1	255464.2856200000	165.4830462600	1.5638238526
87	1	216400.0000000000	133.5417662300	2.2270952136
88	0	29121.7958530000	0.0000000000	0.0805798730
89	0	56800.0000000000	0.0000000000	0.5429689059
90	0	86800.0000000000	0.0000000000	0.8695187681
91	0	38800.0000000000	0.0000000000	0.4904327071
92	0	86800.0000000000	0.0000000000	0.6226420453
93	0	53600.0000000000	0.0000000000	0.6853048021
94	0	50400.0000010000	0.0000000000	0.4048984007
95	0	44800.0000000000	0.0000000000	1.2448680034
96	0	35843.6292600000	0.0000000000	1.0688471510
97	0	120800.0000000000	0.0000000000	1.5721428665
98	0	87441.6296640000	0.0000000000	1.4011624656
99	7	43707.3996020000	499.3081744300	7.8472022569
100	18	56800.0000000000	3954.7988782000	18.5897581840
101	3	63600.0000000000	251.9339701600	3.8807790323
102	2	68799.9999990000	629.7525661800	3.2081505812
103	9	93999.9999990000	2057.6229053000	8.9369325049
104	4	50400.0000000000	74.8395928580	5.2689578954
105	10	54800.0000010000	6242.6485755000	9.0505041964
106	0	34800.0000000000	0.0000000000	1.1026795202
107	3	22800.0000000000	534.2702818600	3.6611820560
108	14	57200.0000010000	2455.4060277000	14.0507889280
109	21	64800.0000000000	3499.7177289000	19.7522333440
110	1	38800.0000000000	127.2496536800	3.2914315496
111	2	79600.0000000000	358.0985504300	5.1881313262
112	17	85599.9999990000	2429.0991406000	14.9314333600
113	1	53600.0000000000	142.9655901900	1.4277011862
114	0	97600.0000000000	0.0000000000	1.3693100846
115	9	118400.0000000000	1109.3339760000	8.4715804277
116	0	100000.0000000000	0.0000000000	0.8017360188
117	7	139200.0000000000	498.8971203000	5.8455709617
118	43	170800.0000000000	9707.0739357000	46.2753334090
119	27	154800.0000000000	2347.2787176000	25.0839163540
120	12	50000.0000000000	2045.2498958000	10.7043840180
121	7	93200.0000000000	2099.6775926000	7.2409374839
122	15	164000.0000000000	3101.6504713000	14.3079511980
123	12	40800.0000000000	3310.8682835000	11.9192414590
124	36	86000.0000000000	6892.1377993000	36.8224236820
125	0	27200.0000000000	0.0000000000	0.6486371425
126	1	280800.0000000000	109.7328202900	2.1936784271
127	11	47600.0000000000	4848.9922682000	9.5152485245
128	20	275200.0000000000	2275.6186935000	20.5622410130
129	0	44400.0000000000	0.0000000000	0.7390026385
130	0	60400.0000000000	0.0000000000	1.3591061673
131	1	47200.0000000000	135.3665299700	1.1171871181
132	0	52400.0000000000	0.0000000000	0.7144219240
133	0	25200.0000000000	0.0000000000	0.5370910057
134	6	124141.8295700000	2598.2936693000	5.2352052676
135	0	203200.0000000000	0.0000000000	1.4308044245
136	0	58000.0000000000	0.0000000000	0.8582043757
137	2	48000.0000000000	28.0903063410	1.5631666224
138	0	90444.9056640000	0.0000000000	0.3944607985
139	3	81599.9999990000	2104.1886767000	1.7111269194
140	0	104667.6236800000	0.0000000000	0.4730162086
141	6	230400.0000000000	3156.2025314000	6.2350343497
142	0	66400.0000000000	0.0000000000	1.5662301016
143	0	108558.5060800000	0.0000000000	0.4292951605
144	0	43600.0000000000	0.0000000000	1.1167340553
145	2	107911.2885400000	2143.5818998000	1.3595746214
146	0	151858.1378000000	0.0000000000	1.2194085241
147	3	75839.6488760000	207.7728571800	1.1787054687
148	3	51273.5786540000	547.4351023400	1.3459847066
149	0	155057.7648100000	0.0000000000	1.1367213635
150	9	211200.0000000000	612.8890829600	9.7350747211
151	10	120800.0000000000	1308.9632046000	11.8132748520
152	14	56400.0000010000	799.2089295900	14.3866634350
153	4	87200.0000000000	487.2730108100	4.2546055679
154	1	51200.0000000000	15.7630519160	1.3168262952
155	2	82800.0000000000	102.1426637700	2.5489979171
156	0	112742.9474400000	0.0000000000	0.8532252032
157	4	203200.0000000000	1773.4647978000	2.9389417074
158	5	70399.9999990000	1218.0667789000	6.5597495218
159	6	66000.0000000000	613.6597064000	5.8995916071
160	13	48000.0000000000	5084.5403809000	11.5776380460
161	0	200000.0000000000	0.0000000000	2.2056686867
162	0	69999.9999990000	0.0000000000	1.0993797454
163	0	405173.4806500000	0.0000000000	1.4010719114
164	0	546024.4382000000	0.0000000000	2.2566994524
165	0	69383.7547360000	0.0000000000	1.2154873103
166	0	201548.3225500000	0.0000000000	2.3853997464
167	0	36492.1625340000	0.0000000000	1.0913365017
168	0	267931.9541000000	0.0000000000	1.4217478857
169	0	24561.8986880000	0.0000000000	0.8356843378
170	0	191205.8264100000	0.0000000000	0.8569389643
171	17	124425.8675400000	985.6728018000	15.7454811940
